RowName,key,English,Chinese,Japanese,Hindi,Arabic,French,Spanish,Russian
129,notice_content1,We get old because we stop the game.,我们变老是因为我们停止游戏。,ゲ`ムをやめるから私たちは老けるのです。,?? ????? ?? ???? ??? ??????? ?? ??? ??? ?? ???? ????,??? ????? ????? ?????? ??????.,On vieillit parce qu’on arrête le jeu.,Nos hacemos viejos porque paramos el juego.,"Мы стареем, потому что прекращаем игру."
130,notice_title2,Hello! Linda is here ??,你好！琳达在这里??,こんにちは！ リンダが来ました??,??????! ????? ???? ?? ??,??????! ????? ??? ??,Bonjour! Linda est là ??,?Hola! Linda está aquí ??,Привет! Линда здесь ??
131,notice_content2,"As a retirement, this is my favorite grinding thinking game ??",作为一名退休人员，这是我最喜欢的磨砺思维游戏??,引退作として、これは私のお荬巳毪辘氐椎膜丝激à毳博`ムです ??,"???????????? ?? ??? ???, ?? ???? ??????? ?????????? ??????? ??? ?? ??",??????? ??? ?? ???? ??????? ?????? ??????? ??? ??,"En tant que retraité, c'est mon jeu de réflexion préféré ??","Como retiro, este es mi juego de pensamiento favorito ??",На пенсии это моя любимая игра на мышление ??
132,notice_title3,It's time to exercise the brain! ?,是时候锻炼大脑了！?,^の体操のrgです！ ?,?? ????? ?? ??????? ???? ?? ??? ??! ?,??? ????? ?????? ??????! ?,Il est temps d'exercer le cerveau?! ?,?Es hora de ejercitar el cerebro! ?,Пришло время тренировать мозг! ?
133,notice_content3,"The more you play, the healthier the brain??",玩得越多，大脑就越健康??,[べば[ぶほどは健康になります??,"????? ???? ?? ???????, ???????? ???? ?? ?????? ????",???? ???? ????? ???? ????? ???? ???,"Plus vous jouez, plus le cerveau est en bonne santé??","Cuanto más juegas, más sano es el cerebro??","Чем больше играешь, тем здоровее мозг??"
134,notice_title4,Relax and restore vitality,放松并恢复活力,リラックスして活力を回,???? ???? ?? ???? ????? ???? ????,????????? ???????? ???????,Se détendre et retrouver sa vitalité,Relajarse y recuperar la vitalidad.,Расслабьтесь и восстановите жизненные силы
135,notice_content4,"Looking for comfort in a soothing card game, and at the same time establish a contact with like-minded elderly people??",在舒缓的纸牌游戏中寻找安慰，同时与志同道合的老年人建立联系??,心安らぐカ`ドゲ`ムでKしを求め、同rに同じ志を持つ高h者とのつながりをBきましょう??,"??????? ????? ??? ??? ???? ?? ???? ????, ?? ??? ?? ???? ????????? ???? ??????? ????? ?? ??? ?????? ??????? ??????",???? ?? ?????? ?? ???? ??? ?????? ??? ??? ????? ?? ???????? ?? ???? ???? ??? ??????? ???????,"Vous recherchez du réconfort dans un jeu de cartes apaisant, tout en établissant un contact avec des personnes agées partageant les mêmes idées??","Buscar consuelo en un relajante juego de cartas y, al mismo tiempo, establecer contacto con personas mayores de ideas afines??","Ищите утешение в успокаивающей карточной игре, а заодно налаживайте контакт с единомышленниками пожилого возраста??"
136,notice_title5,How can we always keep elegance and wisdom at all times,怎样才能时刻保持优雅和睿智,どうすれば常に雅さと知{を保つことができますか,?? ?? ??? ??????? ?? ??????????? ???? ???? ?? ???? ????,??? ?????? ?? ????? ?????? ??? ??????? ??????? ?? ???? ????????,Comment pouvons-nous toujours garder l'élégance et la sagesse à tout moment,?Cómo podemos mantener siempre la elegancia y la sabiduría en todo momento?,Как нам всегда сохранять элегантность и мудрость во все времена?
137,notice_content5,Play a classic SOLITAIRE,玩一局经典接龙吧,古典的なソリティアをプレイする,?? ??????? ???????? ?????,???? ???? ??????? ??????????,Jouez à un SOLITAIRE classique,Juega un SOLITARIO clásico,Сыграйте в классический ПАСЬЯНС
138,notice_title6,Good morning! Dennis is here ??,早安！丹尼斯在这里??,おはよう！ デニスが来ました??,??? ??????! ????? ???? ?? ??,???? ?????! ????? ??? ??,Bonjour! Denis est là ??,?Buen día! Dennis está aquí ??,Доброе утро! Денис здесь ??
139,notice_content6,Are you ready for daily challenge?,准备迎接今天的每日挑战了吗？,叭栅翁椁巳・杲Mむ浃悉扦ていますか?,???? ?? ????? ?????? ?? ??? ????? ????,?? ??? ????? ?????? ???????,êtes-vous prêt à relever un défi quotidien??,?Estás listo para el desafío diario?,Готовы ли вы к ежедневным испытаниям?
140,notice_title7,Good morning! Dennis is here ??,早安！丹尼斯在这里??,おはよう！ デニスが来ました??,??? ??????! ????? ???? ?? ??,???? ?????! ????? ??? ??,Bonjour! Denis est là ??,?Buen día! Dennis está aquí ??,Доброе утро! Денис здесь ??
141,notice_content7,A great day starts with an avocado sandwich! Maybe a Solitaire game?,美好的一天从牛油果三明治开始！也许还有一局接龙？,素长室蝗栅膝ボカドサンドイッチから始まります！ もしかしてソリティアゲ`ム？,?? ??????? ??? ?? ?????? ??????? ??????? ?? ???? ??! ???? ?? ???????? ????,??? ???? ???? ????????? ?????????! ???? ???? ????????,Une belle journée commence par un sandwich à l'avocat?! Peut-être un jeu de Solitaire ?,?Un gran día comienza con un sándwich de aguacate! ?Quizás un juego de solitario?,"Отличный день начинается с бутерброда с авокадо! Может быть, пасьянс?"
142,notice_title8,Good morning! Dennis is here ??,早安！丹尼斯在这里??,おはよう！ デニスが来ました??,??? ??????! ????? ???? ?? ??,???? ?????! ????? ??? ??,Bonjour! Denis est là ??,?Buen día! Dennis está aquí ??,Доброе утро! Денис здесь ??
143,notice_content8,I hope you have a great day! Don't forget about our daily Solitaire challenge~,我希望你有一个美好的一天，别忘记我们的接龙挑战哦,良い一日をお^ごし下さい！ 叭栅违渐辚匹％ チャレンジを忘れないでください~,??? ?? ???? ??? ?????? ???! ????? ????? ???????? ?????? ?? ???? ??? ?? ?????~,??? ?? ???? ???? ??? ????! ?? ???? ???? ????????? ?????? ~,J'espère que tu as passé une bonne journée! N'oubliez pas notre défi Solitaire quotidien ~,?Espero que tengas un buen día! No te olvides de nuestro desafío diario de Solitario ~,Надеюсь у тебя хороший день! Не забывайте о нашем ежедневном испытании ?Пасьянс?~
144,notice_title9,Yoink~,呦吼,よ`いんく?,?????~,?????~,Yoink~,Yoink ~,Йонк~
145,notice_content9,"I got a card for you, play a classic Solitaire to collect it!",我给你准备了一张小卡，来玩一局接龙吧,カ`ドを用意しました。古典的なソリティアをプレイしてカ`ドを集めてください!,"???? ???? ??? ?? ????? ???? ??, ??? ?????? ???? ?? ??? ??????? ???????? ?????!",??? ???? ??? ????? ??? ???? ???? ??????? ???????? ??????!,"J'ai une carte pour vous, jouez à un Solitaire classique pour la récupérer?!","Tengo una carta para ti, ?juega un solitario clásico para recogerla!","У меня есть для вас карта, разыграйте классический пасьянс, чтобы собрать ее!"
146,notice_title10,Psst~,喂喂,くっそ～,????????~,???? ~,Psst~,Psst~,Тсс~
147,notice_content10,Let's go play some relaxing Solitaire and do some brain workouts!,来一起玩会休闲的接龙并且锻炼大脑吧,リラックスできるソリティアをプレイして、^の体操をしましょう!,??? ??? ???????? ???????? ????? ?? ??? ?????? ???? ????!,??? ??? ???? ???? ??????? ????? ????? ???? ?????? ??????!,Allons jouer au Solitaire relaxant et faire quelques exercices cérébraux?!,?Vamos a jugar un solitario relajante y hacer algunos ejercicios cerebrales!,Давайте поиграем в расслабляющий пасьянс и потренируем мозг!
148,notice_title11,Yohoho~,呦吼吼,よほほ?,??????~,??????~,Yohoho~,Yohoho ~,Йохохо~
149,notice_content11,How about a fun Solitaire before the meal? Already had a meal? That's fine too~,在饭前来局有趣的接龙怎么样？我是说饭后也行,お食事の前にSしいソリティアはいかがですか? もうお食事をお召し上がりになりましたか？ それもいいですね～,???? ?? ???? ?? ??????? ???????? ?? ???? ??? ???? ???? ????? ??? ???? ?? ?? ???? ?? ???? ??? ?? ?? ??? ??~,???? ?? ???? ??????? ??????? ??? ??????? ?? ?????? ???? ??????? ??? ??? ?????~,Que diriez-vous d'un Solitaire ludique avant le repas ? Vous avez déjà mangé ? C'est bien aussi~,?Qué tal un divertido solitario antes de la comida? ?Ya comiste? Eso también está bien ~,Как насчет веселого пасьянса перед едой? Уже пообедали? Это тоже нормально~
150,notice_title12,Good evening!,晚上好！,こんばんは！,??? ??????!,???? ?????!,Bonne soirée!,?Buenas noches!,Добрый вечер!
151,notice_content12,How about playing some relaxing Solitaire for a better sleep?,来玩会接龙之后睡个好觉怎么样？,より良い睡眠のために、リラックスできるソリティアをプレイしてみてはいかがでしょうか?,????? ???? ?? ??? ??? ???????? ???????? ????? ???? ??????,???? ?? ??? ???? ??????? ??????? ?????? ??? ??? ?????,Que diriez-vous de jouer au Solitaire relaxant pour mieux dormir??,?Qué tal jugar un solitario relajante para dormir mejor?,"Как насчет того, чтобы сыграть в расслабляющий пасьянс, чтобы лучше выспаться?"
152,notice_title13,Good evening!,晚上好！,こんばんは！,??? ??????!,???? ?????!,Bonne soirée!,?Buenas noches!,Добрый вечер!
153,notice_content13,"Try playing a relaxing Solitaire with night mode, I am sure it will help you sleep well.",尝试玩助眠模式的接龙吧，我猜它会有帮助的,ナイト モ`ドでリラックスできるソリティアをプレイしてみてください。きっとよく眠れるようになるでしょう。,"?????? ??? ?? ??? ?? ???????? ???????? ????? ?? ?????? ????, ???? ???? ?? ?? ?? ???? ????? ???? ???? ??? ??? ??????",???? ??? ???? ??????? ????? ?? ????? ??????? ???? ????? ?? ???? ??????? ??? ????? ?????.,"Essayez de jouer à un Solitaire relaxant avec le mode nuit, je suis s?r que cela vous aidera à bien dormir.","Prueba a jugar un solitario relajante con modo nocturno, estoy seguro de que te ayudará a dormir bien.","Попробуйте разложить расслабляющий пасьянс в ночном режиме, уверен, это поможет вам хорошо выспаться."
154,notice_title14,Good evening!,晚上好！,こんばんは！,??? ??????!,???? ?????!,Bonne soirée!,?Buenas noches!,Добрый вечер!
155,notice_content14,"Enjoy a casual Solitaire, sleep well, and prepare for a fantastic tomorrow.",玩会接龙，睡个好觉，然后迎接美好的明天,カジュアルなソリティアをSしみ、よく眠り、素晴らしい明日に浃à蓼筏绀Α,"?? ??????? ???????? ?? ???? ???, ????? ???? ??? ?? ?? ?????? ?? ?? ??? ?????? ?????",?????? ???????? ??? ????? ??? ?????? ?????? ??? ????.,"Profitez d'un solitaire décontracté, dormez bien et préparez-vous à un lendemain fantastique.","Disfruta de un solitario informal, duerme bien y prepárate para un ma?ana fantástico.","Наслаждайтесь случайным пасьянсом, спите спокойно и готовьтесь к фантастическому завтрашнему дню."
156,,Reset,重置,リセット,?????,????? ???,Réinitialiser,Reiniciar,Перезагрузить
157,,Are you sure to reset statistics?,是否确认重置统计数据？,yをリセットしてもよろしいですか?,???? ?? ?????? ????? ???? ????????? ?? ??? ????,?? ??? ????? ?? ????? ????? ???????????,êtes-vous s?r de réinitialiser les statistiques??,?Estás seguro de restablecer las estadísticas?,"Вы уверены, что сбросить статистику?"
158,,Confirm,确认,_Jする,?????? ????,?????,Confirmer,Confirmar,Подтверждать
159,lag0263,Black Mode,黑色模式,ブラックモ`ド,????? ???,????? ??????,Mode noir,Modo negro,Черный режим
160,,Congratulations!,恭喜,おめでとう！,???? ??!,???????!,Toutes nos félicitations!,?Felicidades!,Поздравляем!
161,,The new table has been unlocked,新背景已解锁,新しいテ`ブルのロックが解除されました,?? ?????? ????? ?? ?? ?? ??,??? ?? ??? ?????? ??????,La nouvelle table a été débloquée,La nueva mesa ha sido desbloqueada.,Новый стол разблокирован.
162,,The new front has been unlocked,新牌背已解锁,新しい榫のロックが解除されました,??? ?????? ??? ???? ??? ??,??? ?? ??? ?????? ???????,La nouvelle fa?ade a été déverrouillée,El nuevo frente ha sido desbloqueado.,Новый фронт разблокирован
163,,The new back has been unlocked,新牌面已解锁,新しいバックのロックが解除されました,??? ??? ????? ?? ???? ??? ??,??? ?? ??? ????? ?????? ??????,Le nouveau dos a été débloqué,La nueva espalda ha sido desbloqueada.,Новая спина разблокирована
164,,OK,好的,わかりました,??? ??,???,D'ACCORD,DE ACUERDO,ХОРОШО
165,,USE,使用,使用,?????,??????,UTILISER,USAR,ИСПОЛЬЗОВАТЬ
166,,Independence Day,独立日,独立念日,?????????? ????,??? ?????????,Jour de l'indépendance,Día de la Independencia,День независимости
167,,Not Enough Gold,金币不足,ゴ`ルドが足りない,???????? ???? ????,??? ?? ???? ?? ?????,Pas assez d'or,Insuficiente oro,Недостаточно золота
168,,New Table,新桌面,新しいテ`ブル,?? ??????,????? ?????,Nouveau tableau,Nueva mesa,Новая таблица
169,,New Stamp,新邮票,新しいスタンプ,??? ???????,??? ????,Nouveau timbre,Nuevo sello,Новая марка
170,,Win #1 games to unlock.,胜利#1场解锁,#1 ゲ`ムに倮してロックを解除しましょう。,????? ???? ?? ??? #1 ??? ??????,??? ???????? ??? 1 ??????.,Gagnez les jeux n°1 à débloquer.,Gana los juegos número 1 para desbloquear.,"Выиграйте игры №1, чтобы разблокировать их."
171,,Hawaii,夏威夷,ハワイ,????,?????,Hawaii,Hawai,Гавайи
172,,Wood,木质,木材,?????,???,Bois,Madera,Древесина
173,,1970s,70年代,1970年代,1970 ?? ???,??????????,années 1970,década de 1970,1970-е годы
174,,You beat,你击败了,あなたは伽沥蓼筏,?? ????,??? ?????,Tu as battu,Vences,Ты победил
175,,players!,的玩家！,x手たち！,??????????!,????????!,joueurs!,jugadores!,игроки!
176,,Daily Mission,每日任务,叭栅违骏攻,?????? ?????,?????? ???????,Taches quotidiennes,Tareas diarias,Ежедневные задания
177,,Magic Wand,魔法棒,魔法の杖,???? ?? ????,????? ???????,Baguette magique,Varita mágica,Волшебная палочка
178,MagicWand1,Use a Magic Wand to remove a hidden card!,使用魔法棒移除隐藏的卡！,魔法の杖を使ってLされたカ`ドを取り除きましょう！,???? ??? ????? ?? ??????? ?? ??? ???? ?? ???? ?? ????? ????!,?????? ????? ??????? ?????? ??????? ???????!,Utilisez une baguette magique pour retirer une carte cachée?!,?Usa una varita mágica para eliminar una carta oculta!,"Используйте Волшебную палочку, чтобы удалить скрытую карту!"
179,,Get Free,免费,自由になる,??: ????? ????,????,Obtenez gratuitement,Liberarse,Получить бесплатно
180,,Watch Ads,观看广告,诟妞蛞る,???????? ?????,?????? ?????????,Regarder les annonces,Ver anuncios,Смотреть рекламу
181,,Unlock,解锁,ロックを解除する,?????,????? ?????,Ouvrir,desbloquear,Разблокировать
182,,Continue,继续,Aく,???? ????,????,Continuer,Continuar,Продолжать
183,,Best,最好,最高,???????,????,Meilleur,Mejor,Лучший
184,,You Got,你得到了,ユ`?ガット,???? ????,??? ????,Vous avez,Tu tienes,Ты получил
185,duliri,Independence Day,独立日,独立念日,?????????? ????,??? ?????????,Jour de l'indépendance,Día de la Independencia,День независимости
186,xiaweiyi,Hawaii,夏威夷,ハワイ,????,?????,Hawaii,Hawai,Гавайи
187,wood,Wood,木质,木材,?????,???,Bois,Madera,Древесина
188,1970s,1970s,70年代,1970年代,1970 ?? ???,??????????,années 1970,década de 1970,1970-е годы
189,,wins for the next reward,胜获得下一个奖励,倮すると次の蟪辘颢@得できます,???? ???? ?? ??? ????? ??,???? ????????? ???????,gagne pour la prochaine récompense,gana para la próxima recompensa,выигрыши за следующую награду
190,,Daily Rank,每日排名,デイリ`ランク,????? ????,?????? ???????,Classement quotidien,Rango diario,Ежедневный рейтинг
191,,Rank,排名,ランク,??,????,Rang,Rango,Классифицировать
192,,In preparation,准备中,渲,?????? ???,??? ???????,En préparation,En la preparación de,В подготовке
193,,Connection failed!,连接失败！,接Aに失・筏蓼筏浚,??????? ????!,??? ???????!,La connexion a échoué!,?La conexión falló!,Соединение не удалось!
194,,Me,我,自分,????,???,Moi,A mí,Мне
195,,World Rank,世界排名,世界ランク,????? ????,????? ???????,Classement mondial,Categoría mundial,Мировой рейтинг
196,,"Oops, something went wrong!",哎呀，出了问题！,おっと！何かがg`っていた！,??! ??? ??? ?? ??? ??!,??? ??? ?? ??? ???? ????!,"Oups, quelque chose s'est mal passé?!",?Huy! Algo salió mal!,Упс! Что-то пошло не так!
197,,Language,语言,言Z,????,???,Langue,Idiomas,Язык
198,,UI Style,UI风格,UIスタイル,???? ????,??? ????? ????????,Le style UI,Estilo UI,Стиль UI
199,,Green,绿色,グリ`ン,???color,????,Vert,Verde,Зелёный
200,,Black,黑色,ブラック,????,???? .,Noir,Negro,Чёрный
201,,Come on and win your trophy!,加油赢得你的奖杯吧！,Bってトロフィ`を伽寥・恧Γ,?? ?? ???? ?????? ????!,??? ????? ?????? !,"Allez, gagnez votre trophée!",?Vamos a ganar tu trofeo!,"Давай, выиграй свой трофей!"
202,,Date,日期,日付,?????? ?????,??????,Date,Fecha,Дата
203,,History,历史,履s,??????,?????,Historique,Historia,История
204,,Select UI Style,选择UI样式,UI スタイルのxk,???? ???? ?????,??? ??? ????? ????????,Sélectionnez le style d'interface utilisateur,Seleccionar estilo de interfaz de usuario,Выберите стиль пользовательского интерфейса
205,,Well done！,干得漂亮！,よくやった！,???? ?????!,?????!,Bien joué!,?Bien hecho!,Отличная работа!
206,,You can Auto move cards to the foundation now！,你现在可以自动快速收牌了！,カ`ドを猡俗婴且婴扦るようになりました！,?? ?? ??????? ?? ????????? ??? ????? ??????????? ?? ???? ???!,????? ??? ???????? ???????? ??? ??????? ????!,Vous pouvez désormais déplacer automatiquement les cartes vers la fondation?!,?Ahora puedes mover cartas automáticamente a la base!,Теперь вы можете автоматически перемещать карты в фонд！
207,,Current ranking,当前排名,F在のランキング,??????? ???????,??????? ??????,Classement actuel,Clasificación actual,Текущий рейтинг
208,,Connecting,连接中,接A中,??????,?????,De liaison,Conectando,Подключение
209,,IQ Mode,IQ模式,IQモ`ド,?????? ???,??? ??????,Mode QI,Modo coeficiente intelectual,Режим IQ
210,,Left Hand Mode,左手模式,左手モ`ド,???? ??? ?? ???,??? ???? ??????,Mode main gauche,Modo mano izquierda,Режим левой руки
211,,Music,音乐,音S,?????,??????,Musique,Música,Музыка
212,,Select Music,选择音乐,音Sをxk,????? ?????,??? ????????,Sélectionnez la musique,Seleccionar música,Выберите музыку
213,,Choose your music in settings,在设置中选择音乐,O定で音Sをxkしてください,???????? ??? ???? ????? ?????,???? ???????? ?????? ?? ?? ?????????,Choisissez votre musique dans les paramètres,Elige tu música en la configuración,Выберите музыку в настройках
214,Music1,Delight,愉悦,喜び,????,????,Plaisir,Deleitar,Восторг
215,Music2,Warm,温暖,暖かい,???,?????,Chaud,Cálido,Теплый
216,Music3,Rain,雨,雨,?????,???,Pluie,Lluvia,Дождь
217,Music0,None,无,なし,??? ????,?? ???,Aucun,Ninguno,Никто
218,,Music On!,音乐打开！,音Sオン！,???? ?????!,????? ????????!,Musique allumée!,?Música encendida!,Музыка включена!
219,Music accompaies me! ,"Music accompaies me! 
Choose/Close Music in Setting.","音乐伴随着我！
在设置中选择/关闭音乐。","音Sは私と一wです！
O定で音Sをxk/オフにします。","????? ???? ??? ???? ??!
???????? ??? ????? ?????/??? ?????","???????? ???????!
???/???? ????? ???????? ?? ?????????.","La musique m'accompagne !
Sélectionnez/désactivez la musique dans les paramètres.","?La música me acompa?a!
Seleccione/apague la música en la configuración.","Музыка сопровождает меня!
Выбрать/отключить музыку в настройках."
220,,Tap a star and let us know your thoughts!,点击一颗星星，让我们知道您的想法！,星をタップしてあなたのご意をおかせください!,???? ???? ?? ??? ???? ?? ???? ???? ????? ?????!,???? ??? ???? ??????? ???????!,Appuyez sur une étoile et faites-nous part de votre avis?!,?Toca una estrella y cuéntanos tu opinión!,"Нажмите звездочку и дайте нам знать, что вы думаете!"
221,,Reviews,评论,レビュ`,???????,?????????,Commentaires,Rese?as,Отзывы
222,,Enjoying Solitaire？,喜欢纸牌游戏吗？,ソリティアをSしんでいますか？,???????? ?? ???? ?? ??? ???？,????? ???????？,Vous appréciez le solitaire??,?Disfrutando del solitario?,Наслаждаемся пасьянсом?
223,,Share with friends,分享给好友,友人たちと分ける,??????? ?? ??? ??????,???? ?? ????????,Partager avec des amis,Compartir con amigos,Поделиться с друзьями
